City,lat,lon,zone,location_key
Dhanbad,23.8457,86.4304,North,3265372
Dhanbad,23.7457,86.4304,South,3266341
Dhanbad,23.7957,86.4804,East,3265870
Dhanbad,23.7957,86.3804,West,3265950
Indore,22.7696,75.8577,North,204411
Indore,22.6696,75.8577,South,2999455
Indore,22.7196,75.9077,East,204411
Indore,22.7196,75.8077,West,204411
Hubli,15.4147,75.1240,North,2849170
Hubli,15.3147,75.1240,South,3352291
Hubli,15.3647,75.1740,East,2849309
Hubli,15.3647,75.0740,West,3352291
